X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid
-75.763687115335046,8.630705823996287,7,2513,0,0,PURGATORIO,CONCESION ANI,CORDOBA,8.63070582,-75.76368712,7700,23300,26400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Caucasia - Planeta Rica,8500,18100,2
-75.433016277392042,6.399637273235446,10,2510,0,0,TRAPICHE,DEPARTAMENTO,ANTIOQUIA,6.39963727,-75.43301628,9200,14900,25100,33000,36900,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Medellìn - Hoyo Rico,0,,3
-75.527166817655157,6.344935471611195,11,2510,0,0,NIQUÍA,DEPARTAMENTO,ANTIOQUIA,6.34493547,-75.52716682,2300,3100,3100,3100,3100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Medellìn - Hoyo Rico,0,,3
-75.82446453581899,8.845096115928401,14,2103,0,0,LOS GARZONES,CONCESION ANI,CORDOBA,8.84509612,-75.82446454,4200,22000,25300,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Montería - Cereté,11200,17300,2
-73.278358612406635,5.656837879137085,16,5502,0,0,TUTA,CONCESION ANI,BOYACÁ,5.65683788,-73.27835861,7500,26500,31200,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Tunja - Duitama,8300,21400,2
-73.546519195852326,7.397175967378337,17,6602,0,0,LA GÓMEZ,CONCESION ANI,SANTANDER,7.39717597,-73.5465192,9800,34800,40800,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cruce Ruta 45 (La Fortuna) - Lebrija,12400,29000,2
-73.639398377443271,9.63801651709284,18,4516,0,0,LA LOMA,CONCESION ANI,CESAR,9.63801652,-73.63939838,7600,23400,26500,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,San Roque - Bosconia,8400,18200,2
-73.560135961336954,8.092295812276641,20,4514,0,0,MORRISON,CONCESION ANI,OCAÑA,8.09229581,-73.56013596,8700,25600,29000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,San Alberto - La Mata,9600,19900,2
-73.669624503847743,8.853032934958348,21,4515,0,0,PAILITAS,CONCESION ANI,CESAR,8.85303294,-73.6696245,8700,25600,29000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,La Mata - San Roque,9600,19900,2
-75.365165949959035,10.546969408795515,22,9006,0,0,BAYUNCA,CONCESION ANI,BOLÍVAR,10.54696941,-75.36516595,7500,24600,28200,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Sabanalarga - Barranquilla,8300,18500,2
