X,Y,objectid,cod_seg_pr,cod_via,cod_pr,distancia,lado,material,fecha_inst,leyen_front,estado,observacion,lat,lon,alt,key,fuente,fecha_fuente,fecha_act
-81.72996719770974,12.546398166094878,1,01017,0101,7,0,1,1,, ,0, ,12.54639817,-81.7299672,1.446,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-81.727116065372172,12.526966700315697,2,010110,0101,10,0,2,1,, ,0, ,12.5269667,-81.72711607,28.2699,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-81.728566311855076,12.520564039909397,3,010111,0101,11,0,1,1,, ,0, ,12.52056404,-81.72856631,3.5045,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.675318260760051,7.687869808272326,4,620152,6201,52,1003,2,1,, ,1, ,7.68786981,-76.67531826,29.6,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.671342831148891,7.705518694036054,5,620150,6201,50,1007,2,1,, ,1, ,7.70551869,-76.67134283,30.6,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.667341705229006,7.723154583111045,6,620148,6201,48,1005,2,1,, ,1,No Cumple Altura,7.72315458,-76.66734171,34.4,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.663400658635339,7.740803475181596,7,620146,6201,46,1005,2,1,, ,1,No Cumple Altura,7.74080348,-76.66340066,34.3,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.659483270072997,7.75825877200896,8,620144,6201,44,986,2,1,, ,1,Ladea. Zona Urb. Carepa,7.75825877,-76.65948327,32.7,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.656378350192952,7.77621810256058,9,620142,6201,42,999,2,1,, ,1,No Cumple Altura,7.7762181,-76.65637835,32,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.652739503149078,7.794090396891229,10,620140,6201,40,1024,2,1,, ,1, ,7.7940904,-76.6527395,33.8,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.650570672710856,7.811869471860295,11,620138,6201,38,1004,2,1,, ,1, ,7.81186947,-76.65057067,26.9,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.647059964952348,7.829575686081339,12,620136,6201,36,998,2,1,, ,1, ,7.82957569,-76.64705996,31.3,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.642413658215645,7.847055242413422,13,620134,6201,34,1008,2,1,, ,1, ,7.84705524,-76.64241366,26.8,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.637688358124421,7.864494083046806,14,620132,6201,32,999,2,1,, ,1, ,7.86449408,-76.63768836,27.5,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.632825979612406,7.881807902819034,15,620130,6201,30,986,2,1,, ,1,Zona urb. Apar. Dob. Calzada,7.8818079,-76.63282598,28,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.627965508223767,7.89936248593517,16,620128,6201,28,1003,2,1,, ,1, ,7.89936249,-76.62796551,25.8,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.623069247055867,7.916780277739082,17,620126,6201,26,1002,2,1,, ,1, ,7.91678028,-76.62306925,22.7,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.621987249652364,7.934570358059817,18,620124,6201,24,999,2,1,, ,1,No Cumple Altura,7.93457036,-76.62198725,27.4,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.625425501994982,7.952240320182283,19,620122,6201,22,1000,2,1,, ,2,Ladeado,7.95224032,-76.6254255,24,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.630382838720735,7.969635297070634,20,620120,6201,20,998,2,1,, ,2,Requiere Pintura,7.9696353,-76.63038284,24.1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.635480139255932,7.986968035606292,21,620118,6201,18,1001,2,1,, ,1, ,7.98696804,-76.63548014,28.5,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.640490072341564,8.00434602802334,22,620116,6201,16,1097,2,1,, ,2,No cump. Alt. Permi. Reven.,8.00434603,-76.64049007,21.8,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.645547764359264,8.021696718959525,23,620114,6201,14,997,2,1,, ,1, ,8.02169672,-76.64554776,19.4,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.650606238809559,8.038909672347119,24,620112,6201,12,1001,2,1,, ,1, ,8.03890967,-76.65060624,17.1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.656061405696079,8.056141716818798,25,620110,6201,10,1001,2,1,, ,2, ,8.05614172,-76.65606141,19.9,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.664183088552861,8.070982580678317,26,62018,6201,8,990,2,1,, ,2, ,8.07098258,-76.66418309,22.2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
-76.679593078194173,8.080505411302493,27,62016,6201,6,1000,2,1,, ,1, ,8.08050541,-76.67959308,7.5,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z
