objectid,key,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territorial,tramo,sector,administrador,amv,superficie,calzada,ruta,fuente,fecha_fuente,fecha_actualiz,concesion,observacion_invias,estado,observacion_igac,reversion,pr_ini_con,pr_fin_con,ruleid_1
1,1,450260,4502,60,300,77,1000,19,Troncal del Magdalena,Ye de Urcusique - Mocoa (Canangucho),1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,60+300,77+1000,1
2,1,400350,4003,50,80,50,365,24,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puente Cajamarca,1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,50+80,50+365,1
3,,500864,5008,64,0,145,0,12,Transversal Medellin - Bogotá,Villeta - Bogotá,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR inicial 62+0000 (Ramón Lobo),rev,,,64+0,145+0,2
4,,50090,5009,0,0,35,0,12,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,Bogotá (Los Patios) - Guasca,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,35+0,2
5,,55CN019,55CN01,9,200,11,0,12,Conexión Troncal Central del Norte con Troncal Central,Zipaquira - Tee de Nemocón,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,9+200,11+0,2
6,,55CN010,55CN01,0,0,9,200,12,Conexión Troncal Central del Norte con Troncal Central,Briceño - Zipaquirá,3,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,9+200,3
7,,55CN030,55CN03,0,0,6,194,12,Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena,Cruce Ruta 55 (Desviación del Sisga) - Cruce Ruta 56,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,6+194,2
8,,56077,5607,7,146,45,790,12,Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena,Brisas - Guateque,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,TRANSV. DEL SISGA (ENTREGADA 28-AGT-2015),PR final 46+0080 (Ramón Lobo),rev,,,7+146,45+790,2
50,,29RS020,29RS02,0,0,3,570,21,Troncal del Eje Cafetero,Variante de Santa Rosa de Cabal,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR final Ramón Lobo 3+0300,,,,0+0,3+570,2
51,3,26CC070,26CC07,0,0,43,0,08,Transversal Huila - Cauca 2,Inzá - Pedregal - Juntas,1,3,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. seg 0-5; 8-12; 19-20; 31-34",,0+0,43+0,1
9,1,05010,0501,0,0,10,400,17,Conexión Transversal Tumaco - Leticia y Ecuador,La Espriella  - Río Mataje,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,10+400,1
10,1,08010,0801,0,0,24,0,17,Via Alterna al Puerto de Tumaco,"Guachucal - Ipiales
",1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,24+0,1
11,1,17020,1702,0,0,44,0,17,,Túquerres - Samaniego,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,44+0,1
